regional_indicator,embedding_x,embedding_y
East Asia,-20.491669,10.56902
East Asia,-26.890614,46.974407
East Asia,-43.454933,21.513065
East Asia,-4.362432,-26.380928
East Asia,-31.357212,-41.73453
East Asia,28.504688,37.98752
East Asia,2.9572365,-58.8569
East Asia,3.9413855,16.798752
East Asia,-59.71171,-2.7177088
East Asia,1.2547272,47.92752
East Asia,34.22366,-30.732962
East Asia,18.463097,-7.907472
East Asia,64.362526,-8.545125
Latin America and Caribbean,41.405426,9.922534
Latin America and Caribbean,-23.36675,-10.949066
Latin America and Caribbean,-18.500946,9.272438
Latin America and Caribbean,-27.267426,45.055367
Latin America and Caribbean,-45.98754,23.068295
Latin America and Caribbean,-3.4135208,-25.462648
Latin America and Caribbean,-28.58689,-41.983
Latin America and Caribbean,29.195286,34.96316
Latin America and Caribbean,3.6616015,-58.631973
Latin America and Caribbean,4.768418,14.885767
Latin America and Caribbean,-56.974155,-1.9683179
Latin America and Caribbean,0.45424885,47.4332
Latin America and Caribbean,33.37027,-31.131226
Latin America and Caribbean,16.871864,-6.6641808
Latin America and Caribbean,64.85939,-7.810552
Sub-Saharan Africa,-27.52632,51.357815
Sub-Saharan Africa,-40.843918,20.061502
Sub-Saharan Africa,-0.78527564,-32.037945
Sub-Saharan Africa,-36.379013,-40.645943
Sub-Saharan Africa,34.06817,-38.66189
Sub-Saharan Africa,9.257714,-4.826869
Sub-Saharan Africa,-20.060045,16.159643
Sub-Saharan Africa,0.4417752,-31.824667
Sub-Saharan Africa,-36.713535,-39.674595
Sub-Saharan Africa,28.987366,42.974545
Sub-Saharan Africa,-1.338394,-64.782776
Sub-Saharan Africa,9.912537,19.448236
Sub-Saharan Africa,-64.26503,-2.0629373
Sub-Saharan Africa,3.9927418,53.840233
Sub-Saharan Africa,31.859756,-39.02466
Sub-Saharan Africa,9.183305,-5.705408
Latin America and Caribbean,42.702225,10.053319
Latin America and Caribbean,-21.507914,-9.954813
Latin America and Caribbean,-18.47059,7.323128
Latin America and Caribbean,-27.40298,43.265217
Latin America and Caribbean,-47.508976,23.41781
Latin America and Caribbean,-4.0258946,-24.481382
Latin America and Caribbean,-27.101015,-42.318684
Latin America and Caribbean,29.218908,34.106434
Latin America and Caribbean,4.683797,-58.09409
Latin America and Caribbean,4.281148,14.192628
Latin America and Caribbean,-55.88967,-1.4708548
Latin America and Caribbean,0.19838117,45.968357
Latin America and Caribbean,34.1144,-30.13191
Latin America and Caribbean,17.741009,-6.5872297
Central and Eastern Europe,-23.683853,-14.05244
Central and Eastern Europe,-23.251528,48.174686
Central and Eastern Europe,-41.633987,25.124716
Central and Eastern Europe,2.3888156,-27.327274
Central and Eastern Europe,-30.7891,-37.246433
Central and Eastern Europe,32.8147,37.83805
Central and Eastern Europe,-2.4086566,-59.451702
Central and Eastern Europe,5.333791,19.679264
Central and Eastern Europe,-58.875,-6.121619
Central and Eastern Europe,-0.28657416,51.18298
Central and Eastern Europe,29.262457,-32.311665
Central and Eastern Europe,16.859262,-3.06793
Central and Eastern Europe,63.002792,-8.686118
Western Europe,42.6947,10.675654
Western Europe,-25.583616,43.700287
Western Europe,-46.1569,24.893986
Western Europe,-2.176075,-23.651245
Western Europe,-28.124685,-39.77822
Western Europe,33.09176,35.42771
Western Europe,0.082956165,-56.98871
Western Europe,3.757969,17.90537
Western Europe,-56.069946,-4.7669034
Western Europe,-0.78538734,46.350494
Western Europe,31.961658,-29.921772
Western Europe,18.568613,-4.01078
Western Europe,64.0015,-8.000206
Central and Eastern Europe,51.781124,15.303943
Central and Eastern Europe,-22.17297,-11.419921
Central and Eastern Europe,-44.74206,25.151237
Central and Eastern Europe,-0.5995949,-25.384
Central and Eastern Europe,-29.812227,-38.805122
Central and Eastern Europe,31.102522,35.18983
Central and Eastern Europe,1.7940885,-57.390335
Central and Eastern Europe,2.8046744,16.128752
Central and Eastern Europe,-55.733112,-2.9260015
Central and Eastern Europe,-1.1248944,47.274643
Central and Eastern Europe,31.352722,-29.277872
Central and Eastern Europe,62.93499,-9.450381
Western Europe,49.97324,14.992681
Western Europe,-19.644232,-9.280088
Western Europe,-17.409708,4.848943
Western Europe,-26.26382,40.934227
Western Europe,-50.22662,24.963427
Western Europe,-4.88972,-20.877209
Western Europe,-23.854893,-43.666397
Western Europe,28.50845,30.632372
Western Europe,7.2476788,-55.306988
Western Europe,-0.07603614,11.654184
Western Europe,-50.59357,-2.1266923
Western Europe,-2.3019428,41.684464
Western Europe,32.959667,-24.887869
Western Europe,23.757414,-6.324534
Western Europe,59.013992,-11.7505665
Latin America and Caribbean,41.06363,9.451073
Latin America and Caribbean,-24.508451,-10.88175
Latin America and Caribbean,-19.04241,10.939059
Latin America and Caribbean,-26.859552,45.96973
Latin America and Caribbean,-44.0641,22.18644
Latin America and Caribbean,-3.49125,-26.796457
Latin America and Caribbean,-30.12596,-42.307014
Latin America and Caribbean,28.295877,36.480385
Latin America and Caribbean,3.2488172,-60.281254
Latin America and Caribbean,5.780338,16.317505
Latin America and Caribbean,-57.638783,-2.1025527
Latin America and Caribbean,0.3993221,48.03952
Latin America and Caribbean,32.69577,-31.655811
Latin America and Caribbean,17.604645,-6.9228053
Latin America and Caribbean,65.48608,-7.4635215
Latin America and Caribbean,40.435738,9.731762
Latin America and Caribbean,-24.410398,-10.994138
Latin America and Caribbean,-18.524012,10.038847
Latin America and Caribbean,-27.414928,45.39563
Latin America and Caribbean,-45.27358,22.593782
Latin America and Caribbean,-3.7640376,-26.19625
Latin America and Caribbean,-29.490143,-41.837494
Latin America and Caribbean,28.797953,35.263374
Latin America and Caribbean,3.3319707,-59.28075
Latin America and Caribbean,5.082115,15.022093
Latin America and Caribbean,-57.86608,-1.1036988
Latin America and Caribbean,1.0381516,47.65503
Latin America and Caribbean,33.89041,-31.283813
Latin America and Caribbean,15.8693,-6.91296
Latin America and Caribbean,65.241486,-7.6329584
Middle East and North Africa,52.178303,16.191853
Middle East and North Africa,-26.066736,-13.264794
Middle East and North Africa,-18.90737,11.914851
Middle East and North Africa,-24.319752,49.80113
Middle East and North Africa,-40.37446,24.069368
Middle East and North Africa,2.6501353,-28.928795
Middle East and North Africa,-32.605614,-35.598076
Middle East and North Africa,34.502808,39.535324
Middle East and North Africa,-1.848828,-61.555798
Middle East and North Africa,6.8162155,20.678656
Middle East and North Africa,-61.025116,-5.992051
Middle East and North Africa,0.62155765,53.820732
Middle East and North Africa,28.74328,-35.12903
Middle East and North Africa,13.5793,-3.6357622
Middle East and North Africa,65.53938,-4.468407
Latin America and Caribbean,41.19681,8.872893
Latin America and Caribbean,-24.69681,-10.367769
Latin America and Caribbean,-18.793053,10.227561
Latin America and Caribbean,-28.223629,44.837505
Latin America and Caribbean,-44.88053,22.528366
Latin America and Caribbean,-3.751629,-27.91288
Latin America and Caribbean,-29.838743,-41.12167
Latin America and Caribbean,29.191729,35.772404
Latin America and Caribbean,3.0008962,-59.93814
Latin America and Caribbean,5.3402033,15.584817
Latin America and Caribbean,-58.401455,-1.5768833
Latin America and Caribbean,0.9722629,47.506058
Latin America and Caribbean,34.21558,-31.300558
Latin America and Caribbean,16.26569,-8.085685
Latin America and Caribbean,66.35792,-7.6447535
Central and Eastern Europe,39.20009,11.2200165
Central and Eastern Europe,-23.481546,-13.041002
Central and Eastern Europe,-16.406826,10.465392
Central and Eastern Europe,-23.777964,47.842678
Central and Eastern Europe,-0.39026815,-26.340597
Central and Eastern Europe,-30.786589,-38.700764
Central and Eastern Europe,31.061588,36.6089
Central and Eastern Europe,1.745169,-58.133766
Central and Eastern Europe,1.7615216,16.182116
Central and Eastern Europe,-54.96708,-3.3256876
Central and Eastern Europe,-1.9427583,46.15304
Central and Eastern Europe,32.566833,-28.75247
Central and Eastern Europe,20.044231,-6.961834
Central and Eastern Europe,59.607994,-10.899384
Sub-Saharan Africa,-35.56982,-40.49939
Sub-Saharan Africa,29.060595,43.039795
Sub-Saharan Africa,0.034926344,-64.72264
Sub-Saharan Africa,11.625533,18.772577
Sub-Saharan Africa,-63.456406,-2.3153174
Sub-Saharan Africa,4.0572877,53.937286
Sub-Saharan Africa,33.42931,-37.44425
Sub-Saharan Africa,10.263608,-5.7129045
Sub-Saharan Africa,68.246056,-5.483843
Western Europe,44.319626,11.996631
Western Europe,-17.111547,4.9589577
Western Europe,-49.48073,24.739216
Western Europe,-4.502847,-21.032541
Western Europe,-24.171938,-43.240524
Western Europe,28.359945,31.176296
Western Europe,6.8934364,-55.234303
Western Europe,-0.22730821,11.977864
Western Europe,-50.602222,-2.462881
Western Europe,-2.5141666,41.591026
Western Europe,32.730347,-24.839855
Western Europe,23.691923,-6.487375
Western Europe,58.671444,-11.556778
Western Europe,51.038757,15.097104
Western Europe,42.72162,10.827125
Western Europe,-17.632841,7.0938544
Western Europe,-25.873959,43.354164
Western Europe,-47.702606,24.542192
Western Europe,-3.5048475,-23.398556
Western Europe,-26.58148,-42.273853
Western Europe,29.187252,33.132442
Western Europe,4.3587403,-56.902977
Western Europe,1.8146282,15.742406
