regional_indicator,embedding_x,embedding_y
Central and Eastern Europe,-37.90026,-17.825254
Central and Eastern Europe,-0.7186332,-41.281986
Central and Eastern Europe,-4.4212213,-53.25293
Central and Eastern Europe,-4.3024344,-51.669033
Central and Eastern Europe,-0.3875255,-54.805515
Central and Eastern Europe,-0.32529682,-43.26035
Central and Eastern Europe,-4.8238053,-51.32069
Central and Eastern Europe,-3.1581287,-10.201924
Central and Eastern Europe,0.25233528,-41.230873
Central and Eastern Europe,-1.8419659,-11.370936
Central and Eastern Europe,-47.838158,5.520811
Central and Eastern Europe,-54.032562,18.322437
Western Europe,-38.867214,-10.050128
Western Europe,-50.995975,-5.0907245
Western Europe,-51.007206,-5.016907
Western Europe,-48.71532,6.6066008
Western Europe,-17.397364,30.965155
Western Europe,-13.502409,35.728516
Western Europe,-6.098373,29.957737
Western Europe,-7.254834,30.348974
Western Europe,-6.9913187,30.3504
Western Europe,-7.0750957,30.377996
Western Europe,-6.7605925,30.237553
Western Europe,-5.918776,30.427338
Western Europe,-4.7700973,32.640636
Western Europe,-4.2727895,37.981388
Western Europe,-5.5221877,38.743195
Latin America and Caribbean,-39.05847,-12.493469
Latin America and Caribbean,-34.94138,-7.640468
Latin America and Caribbean,11.947006,-13.021502
Latin America and Caribbean,-4.7857265,-0.4034298
Latin America and Caribbean,4.0129795,-1.4233012
Latin America and Caribbean,-35.74209,-6.9979105
Latin America and Caribbean,-3.8276472,-1.6283252
Latin America and Caribbean,-35.98641,-6.9143925
Latin America and Caribbean,-36.009304,-7.4009094
Latin America and Caribbean,12.008272,-12.200521
Latin America and Caribbean,-0.5067704,-2.5971036
Latin America and Caribbean,11.48017,-10.066688
Latin America and Caribbean,10.47598,-9.335858
Latin America and Caribbean,-0.88890153,-1.1077597
Latin America and Caribbean,12.495917,-11.380271
Latin America and Caribbean,1.5166601,-42.915806
Latin America and Caribbean,9.721785,4.858802
Latin America and Caribbean,8.2958,5.2638626
Latin America and Caribbean,8.34273,5.2468715
